,Call Frequency
AA,1.0
KTo,1.0
QJo,1.0
KJo,1.0
AKs,1.0
AQs,1.0
KQs,1.0
AJs,1.0
KJs,1.0
QJs,1.0
ATs,1.0
KTs,1.0
QTs,1.0
JTs,1.0
A9s,1.0
K9s,1.0
Q9s,1.0
J9s,1.0
T9s,1.0
K8s,1.0
Q8s,1.0
J8s,1.0
T8s,1.0
98s,1.0
A7s,1.0
ATo,1.0
QTo,1.0
Q7s,1.0
JTo,1.0
Q6o,1.0
K6o,1.0
A5o,1.0
K5o,1.0
A6o,1.0
A4o,1.0
K4o,1.0
Q7o,1.0
K7o,1.0
A7o,1.0
A3o,1.0
K3o,1.0
J8o,1.0
Q8o,1.0
K8o,1.0
A8o,1.0
T9o,1.0
J9o,1.0
Q9o,1.0
A2o,1.0
K2o,1.0
K9o,1.0
A9o,1.0
K7s,1.0
A8s,1.0
J7s,1.0
66,1.0
AQo,1.0
AKo,1.0
22,1.0
A3s,1.0
T7s,1.0
Q3s,1.0
33,1.0
44,1.0
55,1.0
77,1.0
Q4s,1.0
88,1.0
A2s,1.0
K2s,1.0
Q2s,1.0
99,1.0
TT,1.0
JJ,1.0
QQ,1.0
KK,1.0
KQo,1.0
K3s,1.0
K4s,1.0
Q5s,1.0
A6s,1.0
A4s,1.0
AJo,1.0
K6s,1.0
Q6s,1.0
J6s,1.0
A5s,1.0
K5s,1.0
Q5o,0.96
J5s,0.8699999999999999
97s,0.8399999999999999
T8o,0.8299999999999998
J7o,0.8199999999999998
Q4o,0.8099999999999998
87s,0.7699999999999998
J4s,0.7499999999999998
T6s,0.7299999999999998
Q3o,0.7099999999999997
J3s,0.6699999999999997
98o,0.6499999999999997
Q2o,0.6099999999999997
96s,0.5999999999999996
J6o,0.5999999999999996
J2s,0.5999999999999996
T7o,0.5899999999999996
T5s,0.5299999999999996
J5o,0.5199999999999996
86s,0.5099999999999996
76s,0.43999999999999995
T4s,0.43999999999999995
97o,0.3999999999999999
J4o,0.3799999999999999
T6o,0.33999999999999986
95s,0.33999999999999986
T3s,0.31999999999999984
J3o,0.2599999999999998
87o,0.23999999999999977
T2s,0.19999999999999973
85s,0.19999999999999973
J2o,0.11999999999999968
96o,0.11999999999999968
T5o,0.0799999999999997
75s,0.0599999999999997
94s,0.01999999999999969
32s,0.0
86o,0.0
76o,0.0
52o,0.0
42o,0.0
32o,0.0
65s,0.0
84s,0.0
74s,0.0
64s,0.0
54s,0.0
93s,0.0
83s,0.0
73s,0.0
63s,0.0
53s,0.0
43s,0.0
92s,0.0
82s,0.0
72s,0.0
62s,0.0
52s,0.0
62o,0.0
72o,0.0
82o,0.0
64o,0.0
95o,0.0
85o,0.0
75o,0.0
65o,0.0
T4o,0.0
94o,0.0
84o,0.0
74o,0.0
54o,0.0
42s,0.0
T3o,0.0
93o,0.0
83o,0.0
73o,0.0
63o,0.0
53o,0.0
43o,0.0
T2o,0.0
92o,0.0
