hand1,hand2,equity
32s,42s,0.4704
32s,52s,0.41435000000000005
32s,62s,0.39115
32s,72s,0.3652
32s,82s,0.34809999999999997
32s,92s,0.3311
32s,T2s,0.3242
32s,J2s,0.30839999999999995
32s,Q2s,0.31510000000000005
32s,K2s,0.3049
32s,A2s,0.28415
32s,43s,0.4598
32s,53s,0.4098
32s,63s,0.37695
32s,73s,0.35414999999999996
32s,83s,0.33405000000000007
32s,93s,0.3234
32s,T3s,0.3206
32s,J3s,0.30789999999999995
32s,Q3s,0.30824999999999997
32s,K3s,0.2953
32s,A3s,0.27515
32s,54s,0.39935
32s,64s,0.38865
32s,74s,0.36544999999999994
32s,84s,0.36924999999999997
32s,94s,0.37134999999999996
32s,T4s,0.35375
32s,J4s,0.35245000000000004
32s,Q4s,0.34015
32s,K4s,0.3581
32s,A4s,0.33835
32s,65s,0.37370000000000003
32s,75s,0.3549
32s,85s,0.35639999999999994
32s,95s,0.35905
32s,T5s,0.3608
32s,J5s,0.35174999999999995
32s,Q5s,0.36334999999999995
32s,K5s,0.36354999999999993
32s,A5s,0.34725
32s,76s,0.356
32s,86s,0.35879999999999995
32s,96s,0.3635
32s,T6s,0.36595
32s,J6s,0.3478
32s,Q6s,0.35419999999999996
32s,K6s,0.35105000000000003
32s,A6s,0.3611
32s,87s,0.34065
32s,97s,0.35194999999999993
32s,T7s,0.35575
32s,J7s,0.36139999999999994
32s,Q7s,0.35755000000000003
32s,K7s,0.36064999999999997
32s,A7s,0.34110000000000007
32s,98s,0.34065
32s,T8s,0.3517
32s,J8s,0.34535
32s,Q8s,0.35739999999999994
32s,K8s,0.35924999999999996
32s,A8s,0.35324999999999995
32s,T9s,0.34650000000000003
32s,J9s,0.34875
32s,Q9s,0.35334999999999994
32s,K9s,0.36095000000000005
32s,A9s,0.35405
32s,JTs,0.34365
32s,QTs,0.34630000000000005
32s,KTs,0.34945
32s,ATs,0.3568
32s,QJs,0.3456
32s,KJs,0.34954999999999997
32s,AJs,0.35605
32s,KQs,0.36050000000000004
32s,AQs,0.36155
32s,AKs,0.35885
32s,32o,0.52545
32s,42o,0.4901
32s,52o,0.43879999999999997
32s,62o,0.40809999999999996
32s,72o,0.38545
32s,82o,0.35744999999999993
32s,92o,0.3422
32s,T2o,0.327
32s,J2o,0.32525000000000004
32s,Q2o,0.31520000000000004
32s,K2o,0.32455
32s,A2o,0.28964999999999996
32s,43o,0.48285
32s,53o,0.42895000000000005
32s,63o,0.39315000000000005
32s,73o,0.3665999999999999
32s,83o,0.35144999999999993
32s,93o,0.34319999999999995
32s,T3o,0.3345
32s,J3o,0.3093
32s,Q3o,0.30384999999999995
32s,K3o,0.3066
32s,A3o,0.28654999999999997
32s,54o,0.41925
32s,64o,0.41585
32s,74o,0.40075000000000005
32s,84o,0.39425
32s,94o,0.39609999999999995
32s,T4o,0.38105
32s,J4o,0.3809
32s,Q4o,0.38005000000000005
32s,K4o,0.3693
32s,A4o,0.3622
32s,65o,0.4099500000000001
32s,75o,0.38885000000000003
32s,85o,0.38805000000000006
32s,95o,0.39339999999999997
32s,T5o,0.3813
32s,J5o,0.38739999999999997
32s,Q5o,0.37725
32s,K5o,0.38699999999999996
32s,A5o,0.37055
32s,76o,0.3759
32s,86o,0.3737
32s,96o,0.37509999999999993
32s,T6o,0.37905
32s,J6o,0.39339999999999997
32s,Q6o,0.38705
32s,K6o,0.36944999999999995
32s,A6o,0.3799
32s,87o,0.36319999999999997
32s,97o,0.3611
32s,T7o,0.37059999999999993
32s,J7o,0.3727999999999999
32s,Q7o,0.3724
32s,K7o,0.37485
32s,A7o,0.37245000000000006
32s,98o,0.37555
32s,T8o,0.3804
32s,J8o,0.3735
32s,Q8o,0.38265000000000005
32s,K8o,0.37560000000000004
32s,A8o,0.38049999999999995
32s,T9o,0.36935
32s,J9o,0.37655000000000005
32s,Q9o,0.38035
32s,K9o,0.37050000000000005
32s,A9o,0.3742500000000001
32s,JTo,0.36705
32s,QTo,0.36745
32s,KTo,0.37139999999999995
32s,ATo,0.37025
32s,QJo,0.3652
32s,KJo,0.38295
32s,AJo,0.37045
32s,KQo,0.37855000000000005
32s,AQo,0.37875000000000003
32s,AKo,0.38295
32s,22,0.36855
32s,33,0.16035
32s,44,0.16494999999999999
32s,55,0.16515000000000002
32s,66,0.17149999999999999
32s,77,0.17854999999999996
32s,88,0.18225000000000002
32s,99,0.18660000000000002
32s,TT,0.18119999999999997
32s,JJ,0.18674999999999997
32s,QQ,0.1765
32s,KK,0.1899
32s,AA,0.1718
42s,52s,0.4122
42s,62s,0.38955
42s,72s,0.37005
42s,82s,0.35555
42s,92s,0.34010000000000007
42s,T2s,0.32725
42s,J2s,0.32345000000000007
42s,Q2s,0.3073
42s,K2s,0.3154
42s,A2s,0.2894
42s,43s,0.47325
42s,53s,0.43945
42s,63s,0.4252000000000001
42s,73s,0.40565000000000007
42s,83s,0.40730000000000005
42s,93s,0.3843
42s,T3s,0.3842
42s,J3s,0.3893
42s,Q3s,0.38915
42s,K3s,0.38880000000000003
42s,A3s,0.37859999999999994
42s,54s,0.40924999999999995
42s,64s,0.3797
42s,74s,0.34764999999999996
42s,84s,0.34885
42s,94s,0.32270000000000004
42s,T4s,0.31785
42s,J4s,0.3089
42s,Q4s,0.30684999999999996
42s,K4s,0.29935
42s,A4s,0.26805
42s,65s,0.36950000000000005
42s,75s,0.36395
42s,85s,0.36584999999999995
42s,95s,0.36155
42s,T5s,0.3739
42s,J5s,0.34984999999999994
42s,Q5s,0.3588
42s,K5s,0.35184999999999994
42s,A5s,0.34379999999999994
42s,76s,0.3577
42s,86s,0.35445
42s,96s,0.36689999999999995
42s,T6s,0.35140000000000005
42s,J6s,0.35964999999999997
42s,Q6s,0.3668
42s,K6s,0.35209999999999997
42s,A6s,0.35244999999999993
42s,87s,0.36099999999999993
42s,97s,0.36560000000000004
42s,T7s,0.35095000000000004
42s,J7s,0.3568
42s,Q7s,0.36289999999999994
42s,K7s,0.356
42s,A7s,0.34455
42s,98s,0.3446
42s,T8s,0.35805000000000003
42s,J8s,0.35775000000000007
42s,Q8s,0.35514999999999997
42s,K8s,0.36294999999999994
42s,A8s,0.36269999999999997
42s,T9s,0.34835
42s,J9s,0.34495
42s,Q9s,0.3498
42s,K9s,0.35534999999999994
42s,A9s,0.34795000000000004
42s,JTs,0.33675
42s,QTs,0.35025
42s,KTs,0.3555
42s,ATs,0.3522499999999999
42s,QJs,0.34290000000000004
42s,KJs,0.35415
42s,AJs,0.3638
42s,KQs,0.35235
42s,AQs,0.36495
42s,AKs,0.3578
42s,32o,0.5587
42s,42o,0.52305
42s,52o,0.42545
42s,62o,0.40595
42s,72o,0.39370000000000005
42s,82o,0.37079999999999996
42s,92o,0.34395000000000003
42s,T2o,0.34384999999999993
42s,J2o,0.33294999999999997
42s,Q2o,0.3212
42s,K2o,0.31885
42s,A2o,0.29345
42s,43o,0.48854999999999993
42s,53o,0.4741000000000001
42s,63o,0.45294999999999996
42s,73o,0.43335
42s,83o,0.4434
42s,93o,0.4197
42s,T3o,0.41545000000000004
42s,J3o,0.41550000000000004
42s,Q3o,0.4011499999999999
42s,K3o,0.42085
42s,A3o,0.4084499999999999
42s,54o,0.41600000000000004
42s,64o,0.39375
42s,74o,0.36285
42s,84o,0.35609999999999997
42s,94o,0.33859999999999996
42s,T4o,0.31704999999999994
42s,J4o,0.32995
42s,Q4o,0.31825000000000003
42s,K4o,0.3056
42s,A4o,0.29165
42s,65o,0.3952
42s,75o,0.39655
42s,85o,0.38975
42s,95o,0.38880000000000003
42s,T5o,0.38675
42s,J5o,0.38300000000000006
42s,Q5o,0.3774
42s,K5o,0.3767
42s,A5o,0.36365
42s,76o,0.3844
42s,86o,0.38770000000000004
42s,96o,0.38029999999999997
42s,T6o,0.37359999999999993
42s,J6o,0.3883
42s,Q6o,0.37940000000000007
42s,K6o,0.38505
42s,A6o,0.38125
42s,87o,0.3769
42s,97o,0.3749
42s,T7o,0.37365
42s,J7o,0.37915
42s,Q7o,0.38835000000000003
42s,K7o,0.39175000000000004
42s,A7o,0.3762
42s,98o,0.37285
42s,T8o,0.3726999999999999
42s,J8o,0.38319999999999993
42s,Q8o,0.39295
42s,K8o,0.38395
42s,A8o,0.37975
42s,T9o,0.36929999999999996
42s,J9o,0.37350000000000005
42s,Q9o,0.36915000000000003
42s,K9o,0.37655000000000005
42s,A9o,0.3791
42s,JTo,0.365
42s,QTo,0.3694
42s,KTo,0.37479999999999997
42s,ATo,0.37909999999999994
42s,QJo,0.38039999999999996
42s,KJo,0.37720000000000004
42s,AJo,0.38645
42s,KQo,0.37795
42s,AQo,0.3778
42s,AKo,0.38410000000000005
42s,22,0.3843
42s,33,0.33245
42s,44,0.14845000000000003
42s,55,0.16035000000000002
42s,66,0.176
42s,77,0.182
42s,88,0.18744999999999998
42s,99,0.1856
42s,TT,0.1928
42s,JJ,0.19365
42s,QQ,0.18324999999999997
42s,KK,0.19174999999999995
42s,AA,0.16665000000000002
52s,62s,0.3895
52s,72s,0.37124999999999997
52s,82s,0.34774999999999995
52s,92s,0.3456
52s,T2s,0.32714999999999994
52s,J2s,0.3166
52s,Q2s,0.31470000000000004
52s,K2s,0.3094
52s,A2s,0.29635
52s,43s,0.50235
52s,53s,0.46769999999999995
52s,63s,0.4321499999999999
52s,73s,0.40309999999999996
52s,83s,0.40549999999999997
52s,93s,0.4069
52s,T3s,0.3978
52s,J3s,0.39425000000000004
52s,Q3s,0.39065
52s,K3s,0.3909000000000001
52s,A3s,0.3798
52s,54s,0.4577
52s,64s,0.40895000000000004
52s,74s,0.40599999999999997
52s,84s,0.39425
52s,94s,0.40635000000000004
52s,T4s,0.39019999999999994
52s,J4s,0.39935
52s,Q4s,0.3932
52s,K4s,0.398
52s,A4s,0.3753000000000001
52s,65s,0.36629999999999996
52s,75s,0.3448
52s,85s,0.3418
52s,95s,0.3389
52s,T5s,0.31745
52s,J5s,0.31260000000000004
52s,Q5s,0.2996
52s,K5s,0.29574999999999996
52s,A5s,0.2731
52s,76s,0.35075
52s,86s,0.35925
52s,96s,0.3557
52s,T6s,0.34669999999999995
52s,J6s,0.36395
52s,Q6s,0.36965000000000003
52s,K6s,0.36875
52s,A6s,0.36125
52s,87s,0.35074999999999995
52s,97s,0.33515
52s,T7s,0.352
52s,J7s,0.36365
52s,Q7s,0.35584999999999994
52s,K7s,0.35314999999999996
52s,A7s,0.35685
52s,98s,0.35580000000000006
52s,T8s,0.354
52s,J8s,0.35519999999999996
52s,Q8s,0.35555
52s,K8s,0.35805000000000003
52s,A8s,0.35645000000000004
52s,T9s,0.33774999999999994
52s,J9s,0.35445
52s,Q9s,0.3551
52s,K9s,0.348
52s,A9s,0.35895
52s,JTs,0.3457
52s,QTs,0.35605000000000003
52s,KTs,0.3542
52s,ATs,0.3561
52s,QJs,0.35535000000000005
52s,KJs,0.3508
52s,AJs,0.35950000000000004
52s,KQs,0.35419999999999996
52s,AQs,0.36255000000000004
52s,AKs,0.36665
52s,32o,0.62015
52s,42o,0.6174999999999999
52s,52o,0.52345
52s,62o,0.40995
52s,72o,0.39480000000000004
52s,82o,0.3659
52s,92o,0.35114999999999996
52s,T2o,0.3412
52s,J2o,0.3343
52s,Q2o,0.32305
52s,K2o,0.3227
52s,A2o,0.31290000000000007
52s,43o,0.51165
52s,53o,0.4931500000000001
52s,63o,0.45855000000000007
52s,73o,0.44909999999999994
52s,83o,0.42869999999999997
52s,93o,0.41814999999999997
52s,T3o,0.421
52s,J3o,0.42355
52s,Q3o,0.4102
52s,K3o,0.42065
52s,A3o,0.41005
52s,54o,0.48975
52s,64o,0.4307
52s,74o,0.4265
52s,84o,0.42055
52s,94o,0.42699999999999994
52s,T4o,0.41979999999999995
52s,J4o,0.4225499999999999
52s,Q4o,0.42684999999999995
52s,K4o,0.41900000000000004
52s,A4o,0.40885
52s,65o,0.38789999999999997
52s,75o,0.36055000000000004
52s,85o,0.35485
52s,95o,0.3316
52s,T5o,0.3294
52s,J5o,0.3188
52s,Q5o,0.30674999999999997
52s,K5o,0.3137500000000001
52s,A5o,0.29124999999999995
52s,76o,0.37595
52s,86o,0.38420000000000004
52s,96o,0.388
52s,T6o,0.3826
52s,J6o,0.38965
52s,Q6o,0.38865
52s,K6o,0.3767
52s,A6o,0.3866
52s,87o,0.37955
52s,97o,0.37534999999999996
52s,T7o,0.37815
52s,J7o,0.3982500000000001
52s,Q7o,0.38615000000000005
52s,K7o,0.3806
52s,A7o,0.3846
52s,98o,0.378
52s,T8o,0.382
52s,J8o,0.37679999999999997
52s,Q8o,0.37964999999999993
52s,K8o,0.3882
52s,A8o,0.3844
52s,T9o,0.3738
52s,J9o,0.3785
52s,Q9o,0.37750000000000006
52s,K9o,0.38565
52s,A9o,0.38584999999999997
52s,JTo,0.37305
52s,QTo,0.3769
52s,KTo,0.36800000000000005
52s,ATo,0.38154999999999994
52s,QJo,0.38175
52s,KJo,0.384
52s,AJo,0.388
52s,KQo,0.3751
52s,AQo,0.39165000000000005
52s,AKo,0.3892
52s,22,0.38805
52s,33,0.34485
52s,44,0.33225
52s,55,0.15705
52s,66,0.18395
52s,77,0.1876
52s,88,0.1863
52s,99,0.18524999999999997
52s,TT,0.1876
52s,JJ,0.18580000000000002
52s,QQ,0.18585
52s,KK,0.1899
52s,AA,0.18395
62s,72s,0.36510000000000004
62s,82s,0.34145
62s,92s,0.32115
62s,T2s,0.31205
62s,J2s,0.30795
62s,Q2s,0.30084999999999995
62s,K2s,0.28905000000000003
62s,A2s,0.2866
62s,43s,0.53055
62s,53s,0.52215
62s,63s,0.46349999999999997
62s,73s,0.4076000000000001
62s,83s,0.3949
62s,93s,0.39970000000000006
62s,T3s,0.38
62s,J3s,0.3799
62s,Q3s,0.37860000000000005
62s,K3s,0.37885
62s,A3s,0.36624999999999996
62s,54s,0.50595
62s,64s,0.46365
62s,74s,0.39854999999999996
62s,84s,0.37325
62s,94s,0.38865000000000005
62s,T4s,0.38255000000000006
62s,J4s,0.3896
62s,Q4s,0.37720000000000004
62s,K4s,0.3795
62s,A4s,0.3811
62s,65s,0.4338
62s,75s,0.37044999999999995
62s,85s,0.37745
62s,95s,0.367
62s,T5s,0.3813000000000001
62s,J5s,0.36689999999999995
62s,Q5s,0.37965
62s,K5s,0.38334999999999997
62s,A5s,0.3627
62s,76s,0.32055000000000006
62s,86s,0.32195
62s,96s,0.31195
62s,T6s,0.29975
62s,J6s,0.28745
62s,Q6s,0.29274999999999995
62s,K6s,0.2820999999999999
62s,A6s,0.27990000000000004
62s,87s,0.32175
62s,97s,0.33255
62s,T7s,0.3373
62s,J7s,0.339
62s,Q7s,0.3438
62s,K7s,0.35095
62s,A7s,0.33905
62s,98s,0.34695
62s,T8s,0.33199999999999996
62s,J8s,0.33259999999999995
62s,Q8s,0.3512
62s,K8s,0.34855
62s,A8s,0.33585
62s,T9s,0.33219999999999994
62s,J9s,0.335
62s,Q9s,0.33885
62s,K9s,0.33954999999999996
62s,A9s,0.3439
62s,JTs,0.33870000000000006
62s,QTs,0.35055000000000003
62s,KTs,0.34825
62s,ATs,0.34550000000000003
62s,QJs,0.34540000000000004
62s,KJs,0.33885
62s,AJs,0.3428
62s,KQs,0.34825
62s,AQs,0.343
