,Push Frequency
AA,1.0
Q8s,1.0
A2o,1.0
K2o,1.0
Q2o,1.0
KJo,1.0
AJo,1.0
KQo,1.0
AQo,1.0
AKo,1.0
22,1.0
33,1.0
44,1.0
AKs,1.0
AQs,1.0
KQs,1.0
AJs,1.0
KJs,1.0
QJs,1.0
ATs,1.0
KTs,1.0
QTs,1.0
T8o,1.0
A9s,1.0
K9s,1.0
Q9s,1.0
J9s,1.0
T9s,1.0
A8s,1.0
QJo,1.0
ATo,1.0
KTo,1.0
K8o,1.0
A7o,1.0
K7o,1.0
Q7o,1.0
J7o,1.0
A6o,1.0
K6o,1.0
Q6o,1.0
A5o,1.0
K5o,1.0
Q5o,1.0
J8o,1.0
Q8o,1.0
A4o,1.0
QTo,1.0
K4o,1.0
Q4o,1.0
A8o,1.0
T9o,1.0
J9o,1.0
Q9o,1.0
K9o,1.0
A3o,1.0
K3o,1.0
Q3o,1.0
A9o,1.0
JTo,1.0
K8s,1.0
JTs,1.0
J8s,1.0
77,1.0
Q4s,1.0
J4s,1.0
T8s,1.0
A3s,1.0
K3s,1.0
Q3s,1.0
J3s,1.0
55,1.0
66,1.0
88,1.0
A4s,1.0
99,1.0
A2s,1.0
K2s,1.0
Q2s,1.0
J2s,1.0
TT,1.0
JJ,1.0
QQ,1.0
KK,1.0
K4s,1.0
98o,1.0
J6s,1.0
K5s,1.0
A6s,1.0
K6s,1.0
Q6s,1.0
97s,1.0
T6s,1.0
T7s,1.0
J7s,1.0
96s,1.0
86s,1.0
76s,1.0
A5s,1.0
87s,1.0
Q7s,1.0
K7s,1.0
A7s,1.0
Q5s,1.0
J5s,1.0
98s,1.0
65s,0.9200000000000004
J6o,0.6799999999999997
T7o,0.6099999999999997
75s,0.6000000000000001
54s,0.5800000000000001
J5o,0.45999999999999996
T5s,0.45999999999999996
T4s,0.3999999999999999
97o,0.3799999999999999
J4o,0.3599999999999999
85s,0.33999999999999986
95s,0.33999999999999986
T3s,0.31999999999999984
T6o,0.31999999999999984
87o,0.2999999999999998
J3o,0.2799999999999998
T2s,0.2599999999999998
J2o,0.19999999999999973
96o,0.17999999999999972
94s,0.1599999999999997
T5o,0.13999999999999968
64s,0.11999999999999968
86o,0.11999999999999968
74s,0.11999999999999968
84s,0.09999999999999969
76o,0.09999999999999969
93s,0.09999999999999969
T4o,0.0799999999999997
92s,0.0599999999999997
95o,0.01999999999999969
T3o,0.01999999999999969
32s,0.0
85o,0.0
75o,0.0
52s,0.0
62s,0.0
72s,0.0
82s,0.0
43s,0.0
53s,0.0
63s,0.0
73s,0.0
83s,0.0
32o,0.0
42o,0.0
52o,0.0
62o,0.0
72o,0.0
82o,0.0
42s,0.0
T2o,0.0
43o,0.0
53o,0.0
63o,0.0
73o,0.0
83o,0.0
93o,0.0
54o,0.0
64o,0.0
74o,0.0
84o,0.0
94o,0.0
65o,0.0
92o,0.0
